Booz Allen Hamilton Holding Quarterly Net Income (Millions of US $),Booz Allen Hamilton Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$165
2024-03-31,$128
2023-12-31,$146
2023-09-30,$171
2023-06-30,$161
2023-03-31,$-68
2022-12-31,$31
2022-09-30,$171
2022-06-30,$138
2022-03-31,$91
2021-12-31,$129
2021-09-30,$155
2021-06-30,$92
2021-03-31,$199
2020-12-31,$144
2020-09-30,$136
2020-06-30,$129
2020-03-31,$139
2019-12-31,$112
2019-09-30,$114
2019-06-30,$117
2019-03-31,$90
2018-12-31,$132
2018-09-30,$93
2018-06-30,$104
2018-03-31,$83
2017-12-31,$75
2017-09-30,$74
2017-06-30,$71
2017-03-31,$75
2016-12-31,$56
2016-09-30,$63
2016-06-30,$68
2016-03-31,$66
2015-12-31,$108
2015-09-30,$56
2015-06-30,$64
2015-03-31,$43
2014-12-31,$53
2014-09-30,$65
2014-06-30,$71
2014-03-31,$47
2013-12-31,$47
2013-09-30,$68
2013-06-30,$70
2013-03-31,$55
2012-12-31,$56
2012-09-30,$46
2012-06-30,$62
2012-03-31,$51
2011-12-31,$63
2011-09-30,$75
2011-06-30,$51
2011-03-31,$18
2010-12-31,$24
2010-09-30,$15
2010-06-30,$28
2010-03-31,
2009-12-31,$1
