Expand Energy Quarterly Net Income (Millions of US $),Expand Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$-227
2024-03-31,$26
2023-12-31,$569
2023-09-30,$70
2023-06-30,$391
2023-03-31,"$1,389"
2022-12-31,"$3,513"
2022-09-30,$883
2022-06-30,"$1,237"
2022-03-31,$-764
2021-12-31,"$1,434"
2021-09-30,$-345
2021-06-30,$-439
2021-03-31,"$5,678"
2020-12-31,$-416
2020-09-30,$-745
2020-06-30,$-276
2020-03-31,"$-8,319"
2019-12-31,$-346
2019-09-30,$-101
2019-06-30,$75
2019-03-31,$-44
2018-12-31,$580
2018-09-30,$-169
2018-06-30,$-272
2018-03-31,$-6
2017-12-31,"$-1,135"
2017-09-30,$-41
2017-06-30,$470
2017-03-31,$75
2016-12-31,$-729
2016-09-30,"$-1,257"
2016-06-30,"$-1,818"
2016-03-31,"$-1,111"
2015-12-31,"$-2,110"
2015-09-30,"$-4,695"
2015-06-30,"$-4,151"
2015-03-31,"$-3,782"
2014-12-31,$585
2014-09-30,$169
2014-06-30,$145
2014-03-31,$374
2013-12-31,$-154
2013-09-30,$156
2013-06-30,$457
2013-03-31,$15
2012-12-31,$257
2012-09-30,"$-2,055"
2012-06-30,$929
2012-03-31,$-71
2011-12-31,
2011-09-30,$879
2011-06-30,$467
