Turkcell Iletisim Hizmetleri AS Quarterly Net Income (Millions of US $),Turkcell Iletisim Hizmetleri AS Quarterly Net Income (Millions of US $).1
2024-06-30,$90
2024-03-31,$85
2023-12-31,$37
2023-09-30,$204
2023-06-30,$153
2023-03-31,$149
2022-12-31,$-54
2022-09-30,$134
2022-06-30,$118
2022-03-31,$58
2021-06-30,$133
2021-03-31,$150
2020-12-31,$173
2020-09-30,$168
2020-06-30,$124
2020-03-31,$143
2019-12-31,$122
2019-09-30,$141
2019-06-30,$79
2019-03-31,$228
2018-12-31,$147
2018-09-30,$43
2018-06-30,$95
2018-03-31,$131
2017-12-31,$49
2017-09-30,$171
2017-06-30,$197
2017-03-31,$126
2016-12-31,$104
2016-09-30,$55
2016-06-30,$144
2016-03-31,$191
2015-12-31,$199
2015-09-30,$257
2015-06-30,$267
2015-03-31,$136
2014-12-31,$205
2014-09-30,$338
2014-06-30,$238
2014-03-31,$163
2013-12-31,$254
2013-09-30,$355
2013-06-30,$285
2013-03-31,$315
2012-12-31,$256
2012-09-30,$317
2012-06-30,$294
2012-03-31,$187
2011-12-31,$189
2011-09-30,$314
2011-06-30,$277
2011-03-31,$210
2010-12-31,$232
2010-09-30,$367
2010-06-30,$277
2010-03-31,$277
2009-12-31,$171
2009-09-30,$333
2009-06-30,$246
2009-03-31,$344
