Apollo Global Management Quarterly Net Income (Millions of US $),Apollo Global Management Quarterly Net Income (Millions of US $).1
2024-06-30,$828
2024-03-31,"$1,403"
2023-12-31,"$2,732"
2023-09-30,$660
2023-06-30,$599
2023-03-31,"$1,010"
2022-12-31,$640
2022-09-30,$-563
2022-06-30,"$-1,637"
2022-03-31,$-401
2021-12-31,$234
2021-09-30,$249
2021-06-30,$649
2021-03-31,$670
2020-12-31,$425
2020-09-30,$263
2020-06-30,$437
2020-03-31,"$-1,005"
2019-12-31,$157
2019-09-30,$354
2019-06-30,$156
2019-03-31,$140
2018-12-31,$-196
2018-09-30,$162
2018-06-30,$55
2018-03-31,$-63
2017-12-31,$185
2017-09-30,$199
2017-06-30,$87
2017-03-31,$145
2016-12-31,$167
2016-09-30,$95
2016-06-30,$174
2016-03-31,$-33
2015-12-31,$6
2015-09-30,$41
2015-06-30,$56
2015-03-31,$31
2014-12-31,$22
2014-09-30,$2
2014-06-30,$72
2014-03-31,$72
2013-12-31,$159
2013-09-30,$193
2013-06-30,$59
2013-03-31,$249
2012-12-31,$172
2012-09-30,$83
2012-06-30,$-41
2012-03-31,$98
2011-12-31,$11
2011-09-30,$-467
2011-06-30,$-51
2011-03-31,$38
2010-12-31,$206
2010-09-30,$24
2010-06-30,$-75
2010-03-31,$-61
2009-12-31,
