Flowers Foods Quarterly Net Income (Millions of US $),Flowers Foods Quarterly Net Income (Millions of US $).1
2024-06-30,$67
2024-03-31,$73
2023-12-31,$36
2023-09-30,$-47
2023-06-30,$64
2023-03-31,$71
2022-12-31,$49
2022-09-30,$41
2022-06-30,$54
2022-03-31,$86
2021-12-31,$39
2021-09-30,$39
2021-06-30,$56
2021-03-31,$72
2020-12-31,$56
2020-09-30,$44
2020-06-30,$58
2020-03-31,$-6
2019-12-31,$2
2019-09-30,$43
2019-06-30,$53
2019-03-31,$66
2018-12-31,$21
2018-09-30,$40
2018-06-30,$45
2018-03-31,$51
2017-12-31,$79
2017-09-30,$-34
2017-06-30,$45
2017-03-31,$60
2016-12-31,$13
2016-09-30,$40
2016-06-30,$51
2016-03-31,$59
2015-12-31,$32
2015-09-30,$44
2015-06-30,$52
2015-03-31,$61
2014-12-31,$28
2014-09-30,$45
2014-06-30,$42
2014-03-31,$61
2013-12-31,$39
2013-09-30,$34
2013-06-30,$46
2013-03-31,$112
2012-12-31,$39
2012-09-30,$31
2012-06-30,$28
2012-03-31,$38
2011-12-31,$23
2011-09-30,$31
2011-06-30,$28
2011-03-31,$41
2010-12-31,$31
2010-09-30,$31
2010-06-30,$34
2010-03-31,$41
2009-12-31,$31
2009-09-30,$32
2009-06-30,$30
2009-03-31,$37
