SS&C Technologies Holdings Quarterly Net Income (Millions of US $),SS&C Technologies Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$190
2024-03-31,$158
2023-12-31,$194
2023-09-30,$156
2023-06-30,$131
2023-03-31,$126
2022-12-31,$208
2022-09-30,$160
2022-06-30,$111
2022-03-31,$172
2021-12-31,$251
2021-09-30,$184
2021-06-30,$190
2021-03-31,$175
2020-12-31,$197
2020-09-30,$159
2020-06-30,$170
2020-03-31,$99
2019-12-31,$142
2019-09-30,$95
2019-06-30,$121
2019-03-31,$81
2018-12-31,$59
2018-09-30,$57
2018-06-30,$-64
2018-03-31,$51
2017-12-31,$165
2017-09-30,$64
2017-06-30,$51
2017-03-31,$48
2016-12-31,$57
2016-09-30,$39
2016-06-30,$28
2016-03-31,$7
2015-12-31,$12
2015-09-30,$-35
2015-06-30,$39
2015-03-31,$26
2014-12-31,$37
2014-09-30,$41
2014-06-30,$27
2014-03-31,$26
2013-12-31,$27
2013-09-30,$43
2013-06-30,$26
2013-03-31,$21
2012-12-31,$16
2012-09-30,$18
2012-06-30,$-6
2012-03-31,$18
2011-12-31,$13
2011-09-30,$15
2011-06-30,$13
2011-03-31,$10
2010-12-31,$9
2010-09-30,$10
2010-06-30,$4
2010-03-31,$9
2009-12-31,$6
2009-09-30,$6
2009-06-30,$3
2009-03-31,$4
