Americold Realty Trust Quarterly Net Income (Millions of US $),Americold Realty Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$-64
2024-03-31,$10
2023-12-31,$-227
2023-09-30,$-2
2023-06-30,$-105
2023-03-31,$-3
2022-12-31,$3
2022-09-30,$-9
2022-06-30,$4
2022-03-31,$-17
2021-12-31,$-8
2021-09-30,$5
2021-06-30,$-13
2021-03-31,$-14
2020-12-31,$-44
2020-09-30,$12
2020-06-30,$33
2020-03-31,$24
2019-12-31,$21
2019-09-30,$27
2019-06-30,$5
2019-03-31,$-5
2018-12-31,$3
2018-09-30,$25
2018-06-30,$29
2018-03-31,$-10
2017-12-31,$8
2017-09-30,$-12
2017-06-30,$-16
2017-03-31,$-3
2016-12-31,
2015-12-31,
