Axsome Therapeutics Quarterly Net Income (Millions of US $),Axsome Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-79
2024-03-31,$-68
2023-12-31,$-99
2023-09-30,$-62
2023-06-30,$-67
2023-03-31,$-11
2022-12-31,$-61
2022-09-30,$-45
2022-06-30,$-41
2022-03-31,$-40
2021-12-31,$-34
2021-09-30,$-35
2021-06-30,$-32
2021-03-31,$-29
2020-12-31,$-29
2020-09-30,$-23
2020-06-30,$-18
2020-03-31,$-32
2019-12-31,$-25
2019-09-30,$-19
2019-06-30,$-14
2019-03-31,$-11
2018-12-31,$-10
2018-09-30,$-8
2018-06-30,$-8
2018-03-31,$-5
2017-12-31,$-7
2017-09-30,$-6
2017-06-30,$-7
2017-03-31,$-8
2016-12-31,$-7
2016-09-30,$-7
2016-06-30,$-7
2016-03-31,$-6
2015-12-31,$-2
2015-09-30,$-5
2015-06-30,$-2
2015-03-31,$-2
2014-12-31,
2013-12-31,
