United States Cellular Quarterly Net Income (Millions of US $),United States Cellular Quarterly Net Income (Millions of US $).1
2024-06-30,$17
2024-03-31,$18
2023-12-31,$13
2023-09-30,$23
2023-06-30,$5
2023-03-31,$13
2022-12-31,$-28
2022-09-30,$-12
2022-06-30,$21
2022-03-31,$49
2021-12-31,$26
2021-09-30,$34
2021-06-30,$35
2021-03-31,$60
2020-12-31,$5
2020-09-30,$85
2020-06-30,$68
2020-03-31,$71
2019-12-31,$19
2019-09-30,$23
2019-06-30,$31
2019-03-31,$54
2018-12-31,$20
2018-09-30,$36
2018-06-30,$49
2018-03-31,$45
2017-12-31,$273
2017-09-30,$-299
2017-06-30,$12
2017-03-31,$26
2016-12-31,$-5
2016-09-30,$17
2016-06-30,$27
2016-03-31,$9
2015-12-31,$-2
2015-09-30,$64
2015-06-30,$19
2015-03-31,$160
2014-12-31,$-22
2014-09-30,$-22
2014-06-30,$-19
2014-03-31,$19
2013-12-31,$2
2013-09-30,$-10
2013-06-30,$143
2013-03-31,$5
2012-12-31,$-40
2012-09-30,$35
2012-06-30,$53
2012-03-31,$62
2011-12-31,$3
2011-09-30,$62
2011-06-30,$75
2011-03-31,$35
2010-12-31,$10
2010-09-30,$38
2010-06-30,$41
2010-03-31,$47
2009-12-31,$9
2009-09-30,$34
2009-06-30,$82
2009-03-31,$85
