Lincoln Electric Holdings Quarterly Net Income (Millions of US $),Lincoln Electric Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$102
2024-03-31,$123
2023-12-31,$157
2023-09-30,$129
2023-06-30,$137
2023-03-31,$122
2022-12-31,$109
2022-09-30,$109
2022-06-30,$128
2022-03-31,$126
2021-12-31,$75
2021-09-30,$32
2021-06-30,$96
2021-03-31,$74
2020-12-31,$65
2020-09-30,$58
2020-06-30,$27
2020-03-31,$56
2019-12-31,$64
2019-09-30,$72
2019-06-30,$85
2019-03-31,$71
2018-12-31,$87
2018-09-30,$71
2018-06-30,$69
2018-03-31,$61
2017-12-31,$24
2017-09-30,$106
2017-06-30,$61
2017-03-31,$56
2016-12-31,$53
2016-09-30,$60
2016-06-30,$31
2016-03-31,$54
2015-12-31,$49
2015-09-30,$-60
2015-06-30,$71
2015-03-31,$68
2014-12-31,$75
2014-09-30,$46
2014-06-30,$77
2014-03-31,$56
2013-12-31,$88
2013-09-30,$66
2013-06-30,$73
2013-03-31,$67
2012-12-31,$62
2012-09-30,$65
2012-06-30,$66
2012-03-31,$64
2011-12-31,$58
2011-09-30,$56
2011-06-30,$57
2011-03-31,$47
2010-12-31,$42
2010-09-30,$32
2010-06-30,$33
2010-03-31,$24
2009-12-31,$24
2009-09-30,$13
2009-06-30,$15
2009-03-31,$-4
