Eni SpA Quarterly Net Income (Millions of US $),Eni SpA Quarterly Net Income (Millions of US $).1
2024-06-30,$712
2024-03-31,"$1,315"
2023-12-31,$194
2023-09-30,"$2,085"
2023-06-30,$321
2023-03-31,"$2,563"
2022-12-31,$646
2022-09-30,"$5,904"
2022-06-30,"$4,060"
2022-03-31,"$4,021"
2021-12-31,"$4,139"
2021-09-30,"$1,419"
2021-06-30,$298
2021-03-31,"$1,032"
2020-12-31,"$-1,193"
2020-09-30,$-588
2020-06-30,"$-4,851"
2020-03-31,"$-3,231"
2019-12-31,"$-2,133"
2019-09-30,$582
2019-06-30,$477
2019-03-31,"$1,240"
2018-12-31,$439
2018-09-30,"$1,778"
2018-06-30,"$1,493"
2018-03-31,"$1,163"
2017-12-31,"$2,361"
2017-09-30,$404
2017-06-30,$20
2017-03-31,"$1,028"
2016-12-31,$381
2016-09-30,$-627
2016-06-30,$-504
2016-03-31,$-870
2015-12-31,"$-9,363"
2015-09-30,"$-1,059"
2015-06-30,$-125
2015-03-31,$795
2014-12-31,"$-3,247"
2014-09-30,"$2,274"
2014-06-30,$903
2014-03-31,"$1,786"
2013-12-31,$-827
2013-09-30,"$5,284"
2013-06-30,$359
2013-03-31,"$2,038"
2012-12-31,"$1,956"
2012-09-30,"$3,218"
2012-06-30,$200
2012-03-31,"$4,742"
2011-12-31,"$1,728"
2011-09-30,"$2,506"
2011-06-30,"$1,805"
2011-03-31,"$3,482"
2010-12-31,$745
2010-09-30,"$2,224"
2010-06-30,"$2,327"
2010-03-31,"$3,080"
2009-12-31,$947
2009-09-30,"$1,772"
2009-06-30,"$1,175"
2009-03-31,"$2,490"
