AngloGold Ashanti Quarterly Net Income (Millions of US $),AngloGold Ashanti Quarterly Net Income (Millions of US $).1
2024-06-30,$253
2023-12-31,
2023-06-30,
2023-03-31,$66
2022-03-31,$177
2021-03-31,$203
2020-03-31,$169
2019-03-31,$49
2015-12-31,$244
2015-09-30,$-70
2015-06-30,$-142
2015-03-31,$-1
2014-12-31,$-58
2014-09-30,$41
2014-06-30,$-80
2014-03-31,$39
2013-12-31,$-305
2013-09-30,$1
2013-06-30,"$-2,165"
2013-03-31,$239
2012-12-31,$-188
2012-09-30,$168
2012-06-30,$287
2012-03-31,$563
2011-12-31,$385
2011-09-30,$456
2011-06-30,$470
2011-03-31,$241
2010-12-31,$56
2010-09-30,$51
2010-06-30,$-177
2010-03-31,$168
2009-12-31,$424
2009-09-30,"$-1,027"
2009-06-30,$299
2009-03-31,$9
