Tetra Tech Quarterly Net Income (Millions of US $),Tetra Tech Quarterly Net Income (Millions of US $).1
2024-06-30,$86
2024-03-31,$76
2023-12-31,$75
2023-09-30,$54
2023-06-30,$60
2023-03-31,$43
2022-12-31,$117
2022-09-30,$83
2022-06-30,$59
2022-03-31,$53
2021-12-31,$68
2021-09-30,$83
2021-06-30,$52
2021-03-31,$46
2020-12-31,$52
2020-09-30,$45
2020-06-30,$45
2020-03-31,$36
2019-12-31,$47
2019-09-30,$12
2019-06-30,$49
2019-03-31,$56
2018-12-31,$42
2018-09-30,$29
2018-06-30,$33
2018-03-31,$29
2017-12-31,$46
2017-09-30,$34
2017-06-30,$30
2017-03-31,$27
2016-12-31,$27
2016-09-30,$31
2016-06-30,$26
2016-03-31,$4
2015-12-31,$23
2015-09-30,$-32
2015-06-30,$26
2015-03-31,$19
2014-12-31,$26
2014-09-30,$23
2014-06-30,$27
2014-03-31,$32
2013-12-31,$27
2013-09-30,$25
2013-06-30,$-78
2013-03-31,$25
2012-12-31,$26
2012-09-30,$30
2012-06-30,$29
2012-03-31,$22
2011-12-31,$23
2011-09-30,$26
2011-06-30,$24
2011-03-31,$18
2010-12-31,$22
2010-09-30,$23
2010-06-30,$21
2010-03-31,$14
2009-12-31,$19
2009-09-30,$20
2009-06-30,$31
2009-03-31,$19
