Ally Financial Quarterly Net Income (Millions of US $),Ally Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$266
2024-03-31,$129
2023-12-31,$159
2023-09-30,$269
2023-06-30,$301
2023-03-31,$291
2022-12-31,$361
2022-09-30,$272
2022-06-30,$454
2022-03-31,$627
2021-12-31,$681
2021-09-30,$683
2021-06-30,$900
2021-03-31,$796
2020-12-31,$687
2020-09-30,$476
2020-06-30,$241
2020-03-31,$-319
2019-12-31,$378
2019-09-30,$381
2019-06-30,$582
2019-03-31,$374
2018-12-31,$290
2018-09-30,$374
2018-06-30,$349
2018-03-31,$250
2017-12-31,$181
2017-09-30,$282
2017-06-30,$252
2017-03-31,$214
2016-12-31,$248
2016-09-30,$209
2016-06-30,$345
2016-03-31,$235
2015-12-31,$-952
2015-09-30,$230
2015-06-30,"$-1,069"
2015-03-31,$509
2014-12-31,$109
2014-09-30,$356
2014-06-30,$258
2014-03-31,$159
2013-12-31,$-345
2013-09-30,$-110
2013-06-30,"$-1,127"
2013-03-31,$893
2012-12-31,
2012-09-30,$183
2012-06-30,"$-1,099"
2011-12-31,
2010-12-31,
2009-12-31,
