Okta Quarterly Net Income (Millions of US $),Okta Quarterly Net Income (Millions of US $).1
2024-07-31,$29
2024-04-30,$-40
2024-01-31,$-44
2023-10-31,$-81
2023-07-31,$-111
2023-04-30,$-119
2023-01-31,$-153
2022-10-31,$-209
2022-07-31,$-210
2022-04-30,$-243
2022-01-31,$-241
2021-10-31,$-221
2021-07-31,$-277
2021-04-30,$-109
2021-01-31,$-75
2020-10-31,$-73
2020-07-31,$-60
2020-04-30,$-58
2020-01-31,$-50
2019-10-31,$-63
2019-07-31,$-43
2019-04-30,$-52
2019-01-31,$-31
2018-10-31,$-30
2018-07-31,$-39
2018-04-30,$-26
2018-01-31,$-23
2017-10-31,$-33
2017-07-31,$-26
2017-04-30,$-28
2017-01-31,$-10
2016-10-31,$-22
2016-07-31,$-21
2016-04-30,$-23
2016-01-31,
2015-01-31,
