Frontdoor Quarterly Net Income (Millions of US $),Frontdoor Quarterly Net Income (Millions of US $).1
2024-06-30,$92
2024-03-31,$34
2023-12-31,$8
2023-09-30,$71
2023-06-30,$70
2023-03-31,$22
2022-12-31,$8
2022-09-30,$28
2022-06-30,$33
2022-03-31,$2
2021-12-31,$7
2021-09-30,$76
2021-06-30,$40
2021-03-31,$5
2020-12-31,$1
2020-09-30,$49
2020-06-30,$49
2020-03-31,$13
2019-12-31,$19
2019-09-30,$61
2019-06-30,$60
2019-03-31,$13
2018-12-31,$18
2018-09-30,$49
2018-06-30,$45
2018-03-31,$13
2017-12-31,
2017-09-30,$53
2016-12-31,
