Commerce Bancshares Quarterly Net Income (Millions of US $),Commerce Bancshares Quarterly Net Income (Millions of US $).1
2024-06-30,$138
2024-03-31,$112
2023-12-31,$112
2023-09-30,$120
2023-06-30,$127
2023-03-31,$118
2022-12-31,$135
2022-09-30,$122
2022-06-30,$115
2022-03-31,$117
2021-12-31,$119
2021-09-30,$121
2021-06-30,$161
2021-03-31,$130
2020-12-31,$130
2020-09-30,$125
2020-06-30,$38
2020-03-31,$49
2019-12-31,$101
2019-09-30,$107
2019-06-30,$106
2019-03-31,$95
2018-12-31,$107
2018-09-30,$110
2018-06-30,$108
2018-03-31,$99
2017-12-31,$89
2017-09-30,$72
2017-06-30,$76
2017-03-31,$69
2016-12-31,$71
2016-09-30,$66
2016-06-30,$67
2016-03-31,$62
2015-12-31,$61
2015-09-30,$61
2015-06-30,$71
2015-03-31,$58
2014-12-31,$59
2014-09-30,$66
2014-06-30,$67
2014-03-31,$64
2013-12-31,$63
2013-09-30,$68
2013-06-30,$66
2013-03-31,$61
2012-12-31,$68
2012-09-30,$66
2012-06-30,$70
2012-03-31,$65
2011-12-31,$61
2011-09-30,$65
2011-06-30,$69
2011-03-31,$60
2010-12-31,$61
2010-09-30,$56
2010-06-30,$60
2010-03-31,$44
2009-12-31,$50
2009-09-30,$52
2009-06-30,$37
2009-03-31,$31
