NOV Quarterly Net Income (Millions of US $),NOV Quarterly Net Income (Millions of US $).1
2024-06-30,$226
2024-03-31,$119
2023-12-31,$598
2023-09-30,$114
2023-06-30,$155
2023-03-31,$126
2022-12-31,$104
2022-09-30,$32
2022-06-30,$69
2022-03-31,$-50
2021-12-31,$-40
2021-09-30,$-69
2021-06-30,$-26
2021-03-31,$-115
2020-12-31,$-347
2020-09-30,$-55
2020-06-30,$-93
2020-03-31,"$-2,047"
2019-12-31,$-385
2019-09-30,$-244
2019-06-30,"$-5,389"
2019-03-31,$-77
2018-12-31,$12
2018-09-30,$1
2018-06-30,$24
2018-03-31,$-68
2017-12-31,$-14
2017-09-30,$-26
2017-06-30,$-75
2017-03-31,$-122
2016-12-31,$-714
2016-09-30,"$-1,362"
2016-06-30,$-217
2016-03-31,$-119
2015-12-31,"$-1,523"
2015-09-30,$155
2015-06-30,$289
2015-03-31,$310
2014-12-31,$595
2014-09-30,$699
2014-06-30,$619
2014-03-31,$589
2013-12-31,$658
2013-09-30,$636
2013-06-30,$531
2013-03-31,$502
2012-12-31,$668
2012-09-30,$612
2012-06-30,$605
2012-03-31,$606
2011-12-31,$574
2011-09-30,$532
2011-06-30,$481
2011-03-31,$407
2010-12-31,$440
2010-09-30,$404
2010-06-30,$401
2010-03-31,$422
2009-12-31,$394
2009-09-30,$385
2009-06-30,$220
2009-03-31,$470
