Capri Holdings Quarterly Net Income (Millions of US $),Capri Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-14
2024-03-31,$-472
2023-12-31,$105
2023-09-30,$90
2023-06-30,$48
2023-03-31,$-34
2022-12-31,$225
2022-09-30,$224
2022-06-30,$201
2022-03-31,$81
2021-12-31,$322
2021-09-30,$200
2021-06-30,$219
2021-03-31,$-183
2020-12-31,$179
2020-09-30,$122
2020-06-30,$-180
2020-03-31,$-551
2019-12-31,$210
2019-09-30,$73
2019-06-30,$45
2019-03-31,$19
2018-12-31,$200
2018-09-30,$138
2018-06-30,$186
2018-03-31,$44
2017-12-31,$219
2017-09-30,$203
2017-06-30,$126
2017-03-31,$-26
2016-12-31,$271
2016-09-30,$161
2016-06-30,$147
2016-03-31,$177
2015-12-31,$295
2015-09-30,$193
2015-06-30,$174
2015-03-31,$183
2014-12-31,$304
2014-09-30,$207
2014-06-30,$188
2014-03-31,$161
2013-12-31,$230
2013-09-30,$146
2013-06-30,$125
2013-03-31,$101
2012-12-31,$130
2012-09-30,$98
2012-06-30,$69
2012-03-31,$44
2011-12-31,$32
2011-09-30,$32
2011-06-30,$19
2011-03-31,
2010-12-31,$28
2010-03-31,
2009-03-31,
