EchoStar Quarterly Net Income (Millions of US $),EchoStar Quarterly Net Income (Millions of US $).1
2024-06-30,$-206
2024-03-31,$-107
2023-12-31,"$-2,171"
2023-09-30,$3
2023-06-30,$213
2023-03-31,$254
2022-12-31,"$2,350"
2022-09-30,$22
2022-06-30,$14
2022-03-31,$91
2021-12-31,"$2,337"
2021-09-30,$33
2021-06-30,$37
2021-03-31,$79
2020-12-31,$0
2020-09-30,$25
2020-06-30,$-11
2020-03-31,$-54
2019-12-31,$-53
2019-09-30,$-18
2019-06-30,$-6
2019-03-31,$14
2018-12-31,$-112
2018-09-30,$16
2018-06-30,$77
2018-03-31,$-22
2017-12-31,$313
2017-09-30,$35
2017-06-30,$7
2017-03-31,$39
2016-12-31,$38
2016-09-30,$37
2016-06-30,$56
2016-03-31,$51
2015-12-31,$66
2015-09-30,$30
2015-06-30,$34
2015-03-31,$33
2014-12-31,$55
2014-09-30,$64
2014-06-30,$34
2014-03-31,$13
2013-12-31,$5
2013-09-30,$4
2013-06-30,$-10
2013-03-31,$3
2012-12-31,$26
2012-09-30,$23
2012-06-30,$36
2012-03-31,$127
2011-12-31,$-13
2011-09-30,$-19
2011-06-30,$18
2011-03-31,$17
2010-12-31,$169
2010-09-30,$5
2010-06-30,$-41
2010-03-31,$72
2009-12-31,$-30
2009-09-30,$294
2009-06-30,$102
2009-03-31,$-1
