Ericsson Quarterly Net Income (Millions of US $),Ericsson Quarterly Net Income (Millions of US $).1
2024-09-30,$366
2024-06-30,"$-1,040"
2024-03-31,$246
2023-12-31,$263
2023-09-30,"$-2,837"
2023-06-30,$-65
2023-03-31,$145
2022-12-31,$587
2022-09-30,$495
2022-06-30,$459
2022-03-31,$315
2021-12-31,"$1,166"
2021-09-30,$666
2021-06-30,$437
2021-03-31,$378
2020-12-31,$825
2020-09-30,$604
2020-06-30,$254
2020-03-31,$223
2019-12-31,$452
2019-09-30,$-650
2019-06-30,$181
2019-03-31,$253
2018-12-31,$-737
2018-09-30,$307
2018-06-30,$-218
2018-03-31,$-103
2017-12-31,"$-2,246"
2017-09-30,$-548
2017-06-30,$-115
2017-03-31,"$-1,222"
2016-12-31,$-198
2016-09-30,$-28
2016-06-30,$193
2016-03-31,$233
2015-12-31,$844
2015-09-30,$363
2015-06-30,$249
2015-03-31,$152
2014-12-31,$507
2014-09-30,$364
2014-06-30,$378
2014-03-31,$321
2013-12-31,$995
2013-09-30,$460
2013-06-30,$223
2013-03-31,$183
2012-12-31,"$-1,017"
2012-09-30,$328
2012-06-30,$158
2012-03-31,"$1,304"
2011-12-31,$222
2011-09-30,$579
2011-06-30,$483
2011-03-31,$672
2010-12-31,$665
2010-09-30,$535
2010-06-30,$276
2010-03-31,$177
2009-12-31,$97
2009-09-30,$112
2009-06-30,$106
2009-03-31,$227
