GMS Quarterly Net Income (Millions of US $),GMS Quarterly Net Income (Millions of US $).1
2024-07-31,$57
2024-04-30,$56
2024-01-31,$52
2023-10-31,$81
2023-07-31,$87
2023-04-30,$76
2023-01-31,$65
2022-10-31,$103
2022-07-31,$89
2022-04-30,$76
2022-01-31,$61
2021-10-31,$74
2021-07-31,$61
2021-04-30,$34
2021-01-31,$16
2020-10-31,$28
2020-07-31,$27
2020-04-30,$-41
2020-01-31,$11
2019-10-31,$29
2019-07-31,$25
2019-04-30,$16
2019-01-31,$6
2018-10-31,$24
2018-07-31,$8
2018-04-30,$10
2018-01-31,$20
2017-10-31,$18
2017-07-31,$15
2017-04-30,$14
2017-01-31,$8
2016-10-31,$17
2016-07-31,$9
2016-04-30,$9
2016-01-31,$-2
2015-10-31,$3
2015-07-31,$3
2015-04-30,
2014-04-30,
2013-04-30,
