MPLX LP Quarterly Net Income (Millions of US $),MPLX LP Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,171"
2024-03-31,$995
2023-12-31,"$1,111"
2023-09-30,$893
2023-06-30,$910
2023-03-31,$915
2022-12-31,$783
2022-09-30,"$1,395"
2022-06-30,$844
2022-03-31,$793
2021-12-31,$799
2021-09-30,$754
2021-06-30,$675
2021-03-31,$708
2020-12-31,$661
2020-09-30,$635
2020-06-30,$617
2020-03-31,"$-2,755"
2019-12-31,$-611
2019-09-30,$602
2019-06-30,$461
2019-03-31,$483
2018-12-31,$414
2018-09-30,$491
2018-06-30,$433
2018-03-31,$405
2017-12-31,$126
2017-09-30,$114
2017-06-30,$99
2017-03-31,$72
2016-12-31,$62
2016-09-30,$74
2016-06-30,$-36
2016-03-31,$-99
2015-12-31,$-20
2015-09-30,$33
2015-06-30,$44
2015-03-31,$42
2014-12-31,$27
2014-09-30,$28
2014-06-30,$28
2014-03-31,$33
2013-12-31,$20
2013-09-30,$21
2013-06-30,$18
2013-03-31,$17
2012-12-31,$-89
2012-09-30,$37
2012-06-30,$30
2012-03-31,$35
2011-12-31,
2011-09-30,$39
2010-12-31,
