Alamos Gold Quarterly Net Income (Millions of US $),Alamos Gold Quarterly Net Income (Millions of US $).1
2024-06-30,$70
2024-03-31,$42
2023-12-31,$47
2023-09-30,$39
2023-06-30,$75
2023-03-31,$48
2022-12-31,$41
2022-09-30,$-1
2022-06-30,$6
2022-03-31,$-9
2021-12-31,$30
2021-09-30,$25
2021-06-30,$-173
2021-03-31,$51
2020-12-31,$77
2020-09-30,$68
2020-06-30,$12
2020-03-31,$-12
2019-12-31,$38
2019-09-30,$18
2019-06-30,$24
2019-03-31,$17
2018-12-31,$-72
2018-09-30,$7
2018-06-30,$-9
2018-03-31,$1
2017-12-31,$-5
2017-09-30,$29
2017-06-30,$2
2017-03-31,$0
2016-12-31,$-21
2016-09-30,$5
2016-06-30,$-12
2016-03-31,$10
2015-12-31,$-61
2015-09-30,$-33
2015-06-30,$-380
2015-03-31,$-35
2014-12-31,$-3
2014-09-30,$-2
2014-06-30,$1
2014-03-31,$3
2013-12-31,$-5
2013-09-30,$9
2013-06-30,$9
2013-03-31,$26
2012-12-31,$38
2012-09-30,$26
2012-06-30,$25
2012-03-31,$29
