Docusign Quarterly Net Income (Millions of US $),Docusign Quarterly Net Income (Millions of US $).1
2024-07-31,$888
2024-04-30,$34
2024-01-31,$27
2023-10-31,$39
2023-07-31,$7
2023-04-30,$1
2023-01-31,$5
2022-10-31,$-30
2022-07-31,$-45
2022-04-30,$-27
2022-01-31,$-30
2021-10-31,$-6
2021-07-31,$-26
2021-04-30,$-8
2021-01-31,$-72
2020-10-31,$-58
2020-07-31,$-65
2020-04-30,$-48
2020-01-31,$-47
2019-10-31,$-47
2019-07-31,$-69
2019-04-30,$-46
2019-01-31,$-66
2018-10-31,$-53
2018-07-31,$-37
2018-04-30,$-271
2018-01-31,$-6
2017-10-31,$-15
2017-07-31,$-12
2017-04-30,$-20
2017-01-31,
