ZEEKR Intelligent Technology Holding Quarterly Net Income (Millions of US $),ZEEKR Intelligent Technology Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$-301
2024-03-31,$-279
2023-12-31,
