Brady Quarterly Net Income (Millions of US $),Brady Quarterly Net Income (Millions of US $).1
2024-07-31,$55
2024-04-30,$51
2024-01-31,$44
2023-10-31,$47
2023-07-31,$49
2023-04-30,$48
2023-01-31,$38
2022-10-31,$39
2022-07-31,$42
2022-04-30,$40
2022-01-31,$34
2021-10-31,$34
2021-07-31,$28
2021-04-30,$37
2021-01-31,$31
2020-10-31,$33
2020-07-31,$28
2020-04-30,$14
2020-01-31,$34
2019-10-31,$37
2019-07-31,$37
2019-04-30,$35
2019-01-31,$29
2018-10-31,$31
2018-07-31,$35
2018-04-30,$26
2018-01-31,$4
2017-10-31,$26
2017-07-31,$25
2017-04-30,$23
2017-01-31,$25
2016-10-31,$23
2016-07-31,$25
2016-04-30,$21
2016-01-31,$15
2015-10-31,$19
2015-07-31,$-39
2015-04-30,$17
2015-01-31,$12
2014-10-31,$14
2014-07-31,$-110
2014-04-30,$24
2014-01-31,$16
2013-10-31,$24
2013-07-31,$-177
2013-04-30,$4
2013-01-31,$-9
2012-10-31,$27
2012-07-31,$12
2012-04-30,$28
2012-01-31,$-90
2011-10-31,$33
2011-07-31,$30
2011-04-30,$29
2011-01-31,$24
2010-10-31,$26
2010-07-31,$21
2010-04-30,$24
2010-01-31,$15
2009-10-31,$22
2009-07-31,$19
2009-04-30,$18
2009-01-31,$-4
