Valvoline Quarterly Net Income (Millions of US $),Valvoline Quarterly Net Income (Millions of US $).1
2024-06-30,$46
2024-03-31,$41
2023-12-31,$32
2023-09-30,$49
2023-06-30,$62
2023-03-31,"$1,227"
2022-12-31,$82
2022-09-30,$158
2022-06-30,$98
2022-03-31,$81
2021-12-31,$87
2021-09-30,$168
2021-06-30,$97
2021-03-31,$68
2020-12-31,$87
2020-09-30,$122
2020-06-30,$59
2020-03-31,$63
2019-12-31,$73
2019-09-30,$27
2019-06-30,$65
2019-03-31,$63
2018-12-31,$53
2018-09-30,$45
2018-06-30,$64
2018-03-31,$67
2017-12-31,$-10
2017-09-30,$105
2017-06-30,$56
2017-03-31,$71
2016-12-31,$72
2016-09-30,$65
2016-06-30,$75
2016-03-31,$68
2015-12-31,$65
2015-09-30,
2015-06-30,
2014-09-30,
2013-09-30,
