Silgan Holdings Quarterly Net Income (Millions of US $),Silgan Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$76
2024-03-31,$55
2023-12-31,$64
2023-09-30,$111
2023-06-30,$79
2023-03-31,$72
2022-12-31,$25
2022-09-30,$139
2022-06-30,$93
2022-03-31,$85
2021-12-31,$85
2021-09-30,$106
2021-06-30,$94
2021-03-31,$73
2020-12-31,$60
2020-09-30,$113
2020-06-30,$78
2020-03-31,$58
2019-12-31,$35
2019-09-30,$81
2019-06-30,$31
2019-03-31,$47
2018-12-31,$38
2018-09-30,$85
2018-06-30,$55
2018-03-31,$46
2017-12-31,$146
2017-09-30,$72
2017-06-30,$28
2017-03-31,$23
2016-12-31,$24
2016-09-30,$70
2016-06-30,$33
2016-03-31,$27
2015-12-31,$27
2015-09-30,$70
2015-06-30,$42
2015-03-31,$33
2014-12-31,$24
2014-09-30,$83
2014-06-30,$44
2014-03-31,$31
2013-12-31,$23
2013-09-30,$77
2013-06-30,$60
2013-03-31,$25
2012-12-31,$29
2012-09-30,$79
2012-06-30,$11
2012-03-31,$33
2011-12-31,$37
2011-09-30,$79
2011-06-30,$51
2011-03-31,$26
2010-12-31,$16
2010-09-30,$65
2010-06-30,$36
2010-03-31,$27
2009-12-31,$24
2009-09-30,$74
2009-06-30,$35
2009-03-31,$27
