STMicroelectronics Quarterly Net Income (Millions of US $),STMicroelectronics Quarterly Net Income (Millions of US $).1
2024-06-30,$353
2024-03-31,$513
2023-12-31,"$1,076"
2023-09-30,"$1,090"
2023-06-30,"$1,001"
2023-03-31,"$1,044"
2022-12-31,"$1,247"
2022-09-30,"$1,099"
2022-06-30,$867
2022-03-31,$747
2021-12-31,$750
2021-09-30,$474
2021-06-30,$412
2021-03-31,$364
2020-12-31,$582
2020-09-30,$242
2020-06-30,$90
2020-03-31,$192
2019-12-31,$392
2019-09-30,$302
2019-06-30,$160
2019-03-31,$178
2018-12-31,$418
2018-09-30,$369
2018-06-30,$261
2018-03-31,$239
2017-12-31,$307
2017-09-30,$236
2017-06-30,$151
2017-03-31,$108
2016-12-31,$112
2016-09-30,$71
2016-06-30,$23
2016-03-31,$-41
2015-12-31,$1
2015-09-30,$90
2015-06-30,$35
2015-03-31,$-22
2014-12-31,$42
2014-09-30,$72
2014-06-30,$38
2014-03-31,$-24
2013-12-31,$-35
2013-09-30,$-142
2013-06-30,$-152
2013-03-31,$-171
2012-12-31,$-429
2012-09-30,$-478
2012-06-30,$-75
2012-03-31,$-176
2011-12-31,$-11
2011-09-30,$71
2011-06-30,$420
2011-03-31,$170
2010-12-31,$219
2010-09-30,$198
2010-06-30,$356
2010-03-31,$57
2009-12-31,$-71
2009-09-30,$-201
2009-06-30,$-318
2009-03-31,$-541
