ChampionX Quarterly Net Income (Millions of US $),ChampionX Quarterly Net Income (Millions of US $).1
2024-06-30,$53
2024-03-31,$113
2023-12-31,$77
2023-09-30,$78
2023-06-30,$96
2023-03-31,$64
2022-12-31,$68
2022-09-30,$23
2022-06-30,$27
2022-03-31,$37
2021-12-31,$43
2021-09-30,$57
2021-06-30,$7
2021-03-31,$6
2020-12-31,$7
2020-09-30,$-8
2020-06-30,$-110
2020-03-31,$-634
2019-12-31,$-2
2019-09-30,$11
2019-06-30,$23
2019-03-31,$20
2018-12-31,$21
2018-09-30,$25
2018-06-30,$22
2018-03-31,$24
2017-12-31,$59
2017-09-30,$18
2017-06-30,$19
2017-03-31,$13
2016-12-31,
2015-12-31,
