MGIC Investment Quarterly Net Income (Millions of US $),MGIC Investment Quarterly Net Income (Millions of US $).1
2024-06-30,$204
2024-03-31,$174
2023-12-31,$185
2023-09-30,$183
2023-06-30,$191
2023-03-31,$155
2022-12-31,$191
2022-09-30,$250
2022-06-30,$249
2022-03-31,$175
2021-12-31,$174
2021-09-30,$158
2021-06-30,$153
2021-03-31,$150
2020-12-31,$151
2020-09-30,$131
2020-06-30,$14
2020-03-31,$150
2019-12-31,$177
2019-09-30,$177
2019-06-30,$168
2019-03-31,$152
2018-12-31,$158
2018-09-30,$182
2018-06-30,$187
2018-03-31,$144
2017-12-31,$27
2017-09-30,$120
2017-06-30,$119
2017-03-31,$90
2016-12-31,$107
2016-09-30,$57
2016-06-30,$109
2016-03-31,$69
2015-12-31,$102
2015-09-30,$823
2015-06-30,$114
2015-03-31,$133
2014-12-31,$74
2014-09-30,$72
2014-06-30,$46
2014-03-31,$60
2013-12-31,$-1
2013-09-30,$12
2013-06-30,$12
2013-03-31,$-73
2012-12-31,$-387
2012-09-30,$-247
2012-06-30,$-274
2012-03-31,$-20
2011-12-31,$-135
2011-09-30,$-165
2011-06-30,$-152
2011-03-31,$-34
2010-12-31,$-187
2010-09-30,$-52
2010-06-30,$25
2010-03-31,$-150
2009-12-31,$-280
2009-09-30,$-518
2009-06-30,$-340
2009-03-31,$-185
