Landstar System Quarterly Net Income (Millions of US $),Landstar System Quarterly Net Income (Millions of US $).1
2024-06-30,$53
2024-03-31,$47
2023-12-31,$58
2023-09-30,$62
2023-06-30,$67
2023-03-31,$78
2022-12-31,$93
2022-09-30,$100
2022-06-30,$113
2022-03-31,$125
2021-12-31,$113
2021-09-30,$99
2021-06-30,$92
2021-03-31,$77
2020-12-31,$65
2020-09-30,$62
2020-06-30,$24
2020-03-31,$41
2019-12-31,$50
2019-09-30,$53
2019-06-30,$61
2019-03-31,$63
2018-12-31,$68
2018-09-30,$67
2018-06-30,$63
2018-03-31,$58
2017-12-31,$65
2017-09-30,$42
2017-06-30,$38
2017-03-31,$32
2016-12-31,$40
2016-09-30,$36
2016-06-30,$32
2016-03-31,$29
2015-12-31,$38
2015-09-30,$39
2015-06-30,$40
2015-03-31,$30
2014-12-31,$38
2014-09-30,$37
2014-06-30,$36
2014-03-31,$28
2013-12-31,$60
2013-09-30,$29
2013-06-30,$30
2013-03-31,$27
2012-12-31,$34
2012-09-30,$33
2012-06-30,$36
2012-03-31,$27
2011-12-31,$33
2011-09-30,$30
2011-06-30,$30
2011-03-31,$21
2010-12-31,$24
2010-09-30,$22
2010-06-30,$24
2010-03-31,$17
2009-12-31,$19
2009-09-30,$20
2009-06-30,$18
2009-03-31,$14
