Brookfield Renewable Quarterly Net Income (Millions of US $),Brookfield Renewable Quarterly Net Income (Millions of US $).1
2024-06-30,$-342
2024-03-31,$491
2023-12-31,$-747
2023-09-30,"$1,340"
2023-06-30,$291
2023-03-31,"$-1,065"
2022-12-31,$953
2022-09-30,$480
2022-06-30,"$1,046"
2022-03-31,$-976
2021-12-31,$130
2021-09-30,$214
2021-06-30,$611
2021-03-31,$-9
2020-12-31,"$-1,516"
2020-09-30,"$-1,295"
2020-06-30,$11
2020-03-31,$62
2019-12-31,
