BRP Quarterly Net Income (Millions of US $),BRP Quarterly Net Income (Millions of US $).1
2024-07-31,$5
2024-04-30,$-6
2024-01-31,$135
2023-10-31,$47
2023-07-31,$253
2023-04-30,$116
2023-01-31,$276
2022-10-31,$106
2022-07-31,$184
2022-04-30,$95
2022-01-31,$165
2021-10-31,$102
2021-07-31,$173
2021-04-30,$194
2021-01-31,$194
2020-10-31,$150
2020-07-31,$92
2020-04-30,$-164
2020-01-31,$89
2019-10-31,$102
2019-07-31,$70
2019-04-30,$18
2019-01-31,$64
2018-10-31,$69
2018-07-31,$31
2018-04-30,$10
2018-01-31,$91
2017-10-31,$62
2017-07-31,$76
2017-04-30,$-14
2017-01-31,$102
