Veren Quarterly Net Income (Millions of US $),Veren Quarterly Net Income (Millions of US $).1
2024-06-30,$191
2024-03-31,$-305
2023-12-31,$708
2023-09-30,$-604
2023-06-30,$158
2023-03-31,$160
2022-12-31,$-410
2022-09-30,$357
2022-06-30,$260
2022-03-31,$935
2021-12-31,$63
2021-09-30,$62
2021-06-30,"$1,745"
2021-03-31,$17
2020-12-31,$-44
2020-09-30,$0
2020-06-30,$-105
2020-03-31,"$-1,733"
2019-12-31,$-700
2019-09-30,$-229
2019-06-30,$148
2019-03-31,$1
2018-12-31,"$-1,842"
2018-09-30,$23
2018-06-30,$-129
2018-03-31,$-72
2017-12-31,$-32
2017-09-30,$-216
2017-06-30,$62
2017-03-31,$90
2016-12-31,$-382
2016-09-30,$-83
2016-06-30,$-175
2016-03-31,$-64
2015-12-31,$-287
2015-09-30,$-154
2015-06-30,$-196
2015-03-31,$-38
2014-12-31,$96
2014-09-30,$226
2014-06-30,$90
2014-03-31,$28
2013-12-31,$-12
2013-09-30,$84
2013-06-30,$70
2013-03-31,$-2
2012-12-31,$-93
2012-09-30,$2
2012-06-30,$237
2012-03-31,$-4
2011-12-31,$-87
