Nokia Quarterly Net Income (Millions of US $),Nokia Quarterly Net Income (Millions of US $).1
2024-06-30,$-157
2024-03-31,$471
2023-12-31,$-47
2023-09-30,$151
2023-06-30,$316
2023-03-31,$299
2022-12-31,"$3,323"
2022-09-30,$430
2022-06-30,$486
2022-03-31,$238
2021-12-31,$788
2021-09-30,$403
2021-06-30,$414
2021-03-31,$315
2020-12-31,"$-3,082"
2020-09-30,$226
2020-06-30,$104
2020-03-31,$-129
2019-12-31,$640
2019-09-30,$91
2019-06-30,$-217
2019-03-31,$-507
2018-12-31,$239
2018-09-30,$-92
2018-06-30,$-317
2018-03-31,$-231
2017-12-31,$-473
2017-09-30,$-215
2017-06-30,$-481
2017-03-31,$-520
2016-12-31,$609
2016-09-30,$-140
2016-06-30,$-751
2016-03-31,$-566
2015-12-31,"$1,986"
2015-09-30,$169
2015-06-30,$384
2015-03-31,$200
2014-12-31,$495
2014-09-30,$991
2014-06-30,"$3,443"
2014-03-31,$-328
2013-12-31,$-41
2013-09-30,$-121
2013-06-30,$-296
2013-03-31,$-359
2012-12-31,$269
2012-09-30,"$-1,236"
2012-06-30,"$-1,725"
2012-03-31,"$-2,058"
2011-12-31,"$-1,387"
2011-09-30,$-94
2011-06-30,$-523
2011-03-31,$478
2010-12-31,"$1,020"
2010-09-30,$734
2010-06-30,$291
2010-03-31,$468
2009-12-31,"$1,333"
2009-09-30,$-832
2009-06-30,$403
2009-03-31,$161
