ING Group Quarterly Net Income (Millions of US $),ING Group Quarterly Net Income (Millions of US $).1
2024-06-30,
2024-03-31,"$1,713"
2023-09-30,"$2,157"
2023-03-31,"$1,708"
2022-03-31,$481
2021-09-30,"$1,612"
2021-03-31,"$1,212"
2020-09-30,$921
2020-03-31,$739
2019-09-30,"$1,495"
2019-03-31,"$1,271"
2018-06-30,"$1,704"
2017-06-30,"$1,508"
2016-06-30,"$1,463"
2015-12-31,$-226
2015-09-30,"$1,184"
2015-06-30,"$1,503"
2015-03-31,"$1,991"
2014-12-31,"$1,331"
2014-09-30,"$1,162"
2014-06-30,"$1,430"
2014-03-31,"$-2,666"
2013-12-31,$736
2013-09-30,$137
2013-06-30,"$1,046"
2013-03-31,"$2,377"
2012-12-31,"$1,844"
2012-09-30,$777
2012-06-30,"$1,453"
2012-03-31,$886
2011-12-31,"$1,576"
2011-09-30,"$2,336"
2011-06-30,"$2,144"
2011-03-31,"$2,046"
2010-12-31,$584
2010-09-30,$515
2010-06-30,"$1,534"
2010-03-31,"$1,685"
2009-12-31,"$-1,052"
2009-09-30,$748
2009-06-30,$100
2009-03-31,"$-1,037"
