Black Hills Quarterly Net Income (Millions of US $),Black Hills Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$128
2023-12-31,$80
2023-09-30,$45
2023-06-30,$23
2023-03-31,$114
2022-12-31,$72
2022-09-30,$35
2022-06-30,$33
2022-03-31,$118
2021-12-31,$71
2021-09-30,$44
2021-06-30,$25
2021-03-31,$96
2020-12-31,$77
2020-09-30,$36
2020-06-30,$21
2020-03-31,$93
2019-12-31,$69
2019-09-30,$12
2019-06-30,$15
2019-03-31,$104
2018-12-31,$87
2018-09-30,$17
2018-06-30,$22
2018-03-31,$133
2017-12-31,$51
2017-09-30,$28
2017-06-30,$22
2017-03-31,$77
2016-12-31,$18
2016-09-30,$14
2016-06-30,$1
2016-03-31,$40
2015-12-31,$-14
2015-09-30,$-10
2015-06-30,$-42
2015-03-31,$34
2014-12-31,$35
2014-09-30,$27
2014-06-30,$20
2014-03-31,$49
2013-12-31,$21
2013-09-30,$23
2013-06-30,$31
2013-03-31,$43
2012-12-31,$52
2012-09-30,$34
2012-06-30,$-13
2012-03-31,$30
2011-12-31,$26
2011-09-30,$-11
2011-06-30,$8
2011-03-31,$27
2010-12-31,$34
2010-09-30,$12
2010-06-30,$-9
2010-03-31,$31
2009-12-31,$33
2009-09-30,$-2
2009-06-30,$25
2009-03-31,$26
