Macy's Quarterly Net Income (Millions of US $),Macy's Quarterly Net Income (Millions of US $).1
2024-07-31,$150
2024-04-30,$62
2024-01-31,$-71
2023-10-31,$43
2023-07-31,$-22
2023-04-30,$155
2023-01-31,$508
2022-10-31,$108
2022-07-31,$275
2022-04-30,$286
2022-01-31,$743
2021-10-31,$239
2021-07-31,$345
2021-04-30,$103
2021-01-31,$159
2020-10-31,$-91
2020-07-31,$-431
2020-04-30,"$-3,581"
2020-01-31,$340
2019-10-31,$2
2019-07-31,$86
2019-04-30,$136
2019-01-31,$741
2018-10-31,$62
2018-07-31,$166
2018-04-30,$139
2018-01-31,"$1,347"
2017-10-31,$30
2017-07-31,$111
2017-04-30,$78
2017-01-31,$483
2016-10-31,$17
2016-07-31,$11
2016-04-30,$116
2016-01-31,$544
2015-10-31,$118
2015-07-31,$217
2015-04-30,$193
2015-01-31,$793
2014-10-31,$217
2014-07-31,$292
2014-04-30,$224
2014-01-31,$811
2013-10-31,$177
2013-07-31,$281
2013-04-30,$217
2013-01-31,$730
2012-10-31,$145
2012-07-31,$279
2012-04-30,$181
2012-01-31,$745
2011-10-31,$139
2011-07-31,$241
2011-04-30,$131
2011-01-31,$667
2010-10-31,$10
2010-07-31,$147
2010-04-30,$23
2010-01-31,$445
2009-10-31,$-35
2009-07-31,$7
2009-04-30,$-88
2009-01-31,"$-4,745"
