Sony Quarterly Net Income (Millions of US $),Sony Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,482"
2024-03-31,"$1,254"
2023-12-31,"$2,475"
2023-09-30,"$1,381"
2023-06-30,"$1,588"
2023-03-31,"$1,034"
2022-12-31,"$2,320"
2022-09-30,"$1,901"
2022-06-30,"$1,680"
2022-03-31,$938
2021-12-31,"$3,046"
2021-09-30,"$1,939"
2021-06-30,"$1,928"
2021-03-31,$955
2020-12-31,"$3,570"
2020-09-30,"$4,321"
2020-06-30,"$2,169"
2020-03-31,$113
2019-12-31,"$2,112"
2019-09-30,"$1,747"
2019-06-30,"$1,384"
2019-03-31,$788
2018-12-31,"$3,818"
2018-09-30,"$1,557"
2018-06-30,"$2,083"
2018-03-31,$-122
2017-12-31,"$2,633"
2017-09-30,"$1,178"
2017-06-30,$728
2017-03-31,$260
2016-12-31,$169
2016-09-30,$48
2016-06-30,$205
2016-03-31,$-730
2015-12-31,"$1,001"
2015-09-30,$280
2015-06-30,$676
2015-03-31,$-908
2014-12-31,$744
2014-09-30,"$-1,247"
2014-06-30,$265
2014-03-31,"$-1,379"
2013-12-31,$257
2013-09-30,$-197
2013-06-30,$35
2013-03-31,$999
2012-12-31,$-124
2012-09-30,$-198
2012-06-30,$-312
2012-03-31,"$-3,112"
2011-12-31,"$-2,038"
2011-09-30,$-350
2011-06-30,$-191
2011-03-31,"$-4,684"
2010-12-31,$893
2010-09-30,$375
2010-06-30,$289
2010-03-31,$-608
2009-12-31,$861
2009-09-30,$-292
2009-06-30,$-386
2009-03-31,"$-1,685"
