U-Haul Holding Quarterly Net Income (Millions of US $),U-Haul Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$187
2024-03-31,$-10
2023-12-31,$90
2023-09-30,$266
2023-06-30,$250
2023-03-31,$30
2022-12-31,$192
2022-09-30,$340
2022-06-30,$329
2022-03-31,$68
2021-12-31,$272
2021-09-30,$410
2021-06-30,$345
2021-03-31,$25
2020-12-31,$183
2020-09-30,$266
2020-06-30,$88
2020-03-31,$122
2019-12-31,$31
2019-09-30,$156
2019-06-30,$132
2019-03-31,$1
2018-12-31,$79
2018-09-30,$164
2018-06-30,$128
2018-03-31,$11
2017-12-31,$529
2017-09-30,$125
2017-06-30,$126
2017-03-31,$10
2016-12-31,$65
2016-09-30,$176
2016-06-30,$147
2016-03-31,$53
2015-12-31,$82
2015-09-30,$183
2015-06-30,$171
2015-03-31,$9
2014-12-31,$67
2014-09-30,$156
2014-06-30,$124
2014-03-31,$39
2013-12-31,$52
2013-09-30,$138
2013-06-30,$113
2013-03-31,$38
2012-12-31,$37
2012-09-30,$109
2012-06-30,$81
2012-03-31,$25
2011-12-31,$1
2011-09-30,$101
2011-06-30,$69
2011-03-31,$10
2010-12-31,$16
2010-09-30,$82
2010-06-30,$63
2010-03-31,$-8
2009-12-31,$0
2009-09-30,$42
2009-06-30,$20
2009-03-31,$-39
