Walker & Dunlop Quarterly Net Income (Millions of US $),Walker & Dunlop Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$12
2023-12-31,$31
2023-09-30,$21
2023-06-30,$27
2023-03-31,$26
2022-12-31,$40
2022-09-30,$46
2022-06-30,$53
2022-03-31,$69
2021-12-31,$77
2021-09-30,$69
2021-06-30,$54
2021-03-31,$56
2020-12-31,$81
2020-09-30,$52
2020-06-30,$60
2020-03-31,$46
2019-12-31,$41
2019-09-30,$43
2019-06-30,$41
2019-03-31,$43
2018-12-31,$44
2018-09-30,$36
2018-06-30,$40
2018-03-31,$35
2017-12-31,$91
2017-09-30,$34
2017-06-30,$35
2017-03-31,$43
2016-12-31,$32
2016-09-30,$30
2016-06-30,$32
2016-03-31,$15
2015-12-31,$20
2015-09-30,$20
2015-06-30,$20
2015-03-31,$21
2014-12-31,$16
2014-09-30,$15
2014-06-30,$13
2014-03-31,$7
2013-12-31,$11
2013-09-30,$8
2013-06-30,$15
2013-03-31,$8
2012-12-31,$12
2012-09-30,$7
2012-06-30,$9
2012-03-31,$6
2011-12-31,$11
2011-09-30,$6
2011-06-30,$11
2011-03-31,$7
2010-12-31,$-21
2010-09-30,$7
2010-06-30,$12
2010-03-31,$11
2009-12-31,
