Donaldson Quarterly Net Income (Millions of US $),Donaldson Quarterly Net Income (Millions of US $).1
2024-07-31,$110
2024-04-30,$114
2024-01-31,$99
2023-10-31,$92
2023-07-31,$92
2023-04-30,$94
2023-01-31,$86
2022-10-31,$87
2022-07-31,$101
2022-04-30,$83
2022-01-31,$72
2021-10-31,$77
2021-07-31,$84
2021-04-30,$84
2021-01-31,$56
2020-10-31,$62
2020-07-31,$64
2020-04-30,$63
2020-01-31,$64
2019-10-31,$65
2019-07-31,$58
2019-04-30,$75
2019-01-31,$60
2018-10-31,$74
2018-07-31,$102
2018-04-30,$70
2018-01-31,$-53
2017-10-31,$61
2017-07-31,$68
2017-04-30,$60
2017-01-31,$47
2016-10-31,$58
2016-07-31,$60
2016-04-30,$55
2016-01-31,$38
2015-10-31,$39
2015-07-31,$56
2015-04-30,$48
2015-01-31,$48
2014-10-31,$56
2014-07-31,$73
2014-04-30,$67
2014-01-31,$58
2013-10-31,$62
2013-07-31,$73
2013-04-30,$70
2013-01-31,$51
2012-10-31,$54
2012-07-31,$71
2012-04-30,$71
2012-01-31,$54
2011-10-31,$69
2011-07-31,$66
2011-04-30,$62
2011-01-31,$45
2010-10-31,$53
2010-07-31,$51
2010-04-30,$49
2010-01-31,$31
2009-10-31,$35
2009-07-31,$24
2009-04-30,$27
2009-01-31,$34
