Construction Partners Quarterly Net Income (Millions of US $),Construction Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$-1
2023-12-31,$10
2023-09-30,$31
2023-06-30,$22
2023-03-31,$-5
2022-12-31,$2
2022-09-30,$13
2022-06-30,$12
2022-03-31,$-9
2021-12-31,$6
2021-09-30,$8
2021-06-30,$9
2021-03-31,$-5
2020-12-31,$8
2020-09-30,$18
2020-06-30,$16
2020-03-31,$2
2019-12-31,$5
2019-09-30,$17
2019-06-30,$17
2019-03-31,$4
2018-12-31,$5
2018-09-30,$15
2018-06-30,$13
2018-03-31,$11
2017-12-31,$11
2017-09-30,
2017-06-30,$6
2017-03-31,$3
2016-09-30,
