Unity Software Quarterly Net Income (Millions of US $),Unity Software Quarterly Net Income (Millions of US $).1
2024-06-30,$-126
2024-03-31,$-291
2023-12-31,$-253
2023-09-30,$-124
2023-06-30,$-192
2023-03-31,$-253
2022-12-31,$-289
2022-09-30,$-250
2022-06-30,$-204
2022-03-31,$-178
2021-12-31,$-162
2021-09-30,$-115
2021-06-30,$-148
2021-03-31,$-107
2020-12-31,$-84
2020-09-30,$-145
2020-06-30,$-27
2020-03-31,$-27
2019-12-31,
2019-09-30,$-46
2018-12-31,
