Silicon Laboratories Quarterly Net Income (Millions of US $),Silicon Laboratories Quarterly Net Income (Millions of US $).1
2024-06-30,$-82
2024-03-31,$-57
2023-12-31,$-70
2023-09-30,$10
2023-06-30,$11
2023-03-31,$14
2022-12-31,$25
2022-09-30,$21
2022-06-30,$22
2022-03-31,$23
2021-12-31,$-3
2021-09-30,"$2,087"
2021-06-30,$20
2021-03-31,$14
2020-12-31,$9
2020-09-30,$3
2020-06-30,$-2
2020-03-31,$2
2019-12-31,$10
2019-09-30,$20
2019-06-30,$-16
2019-03-31,$5
2018-12-31,$15
2018-09-30,$28
2018-06-30,$14
2018-03-31,$26
2017-12-31,$-5
2017-09-30,$20
2017-06-30,$17
2017-03-31,$15
2016-12-31,$20
2016-09-30,$20
2016-06-30,$16
2016-03-31,$6
2015-12-31,$6
2015-09-30,$10
2015-06-30,$8
2015-03-31,$6
2014-12-31,$10
2014-09-30,$6
2014-06-30,$14
2014-03-31,$8
2013-12-31,$11
2013-09-30,$7
2013-06-30,$13
2013-03-31,$20
2012-12-31,$19
2012-09-30,$10
2012-06-30,$21
2012-03-31,$14
2011-12-31,$13
2011-09-30,$11
2011-06-30,$13
2011-03-31,$-2
2010-12-31,$13
2010-09-30,$18
2010-06-30,$21
2010-03-31,$21
2009-12-31,$40
2009-09-30,$22
2009-06-30,$10
2009-03-31,$1
