Toronto Dominion Bank Quarterly Net Income (Millions of US $),Toronto Dominion Bank Quarterly Net Income (Millions of US $).1
2024-07-31,$-183
2024-04-30,"$1,748"
2024-01-31,"$2,035"
2023-10-31,"$1,935"
2023-07-31,"$2,165"
2023-04-30,"$2,363"
2023-01-31,"$1,113"
2022-10-31,"$5,002"
2022-07-31,"$2,465"
2022-04-30,"$2,957"
2022-01-31,"$2,914"
2021-10-31,"$2,953"
2021-07-31,"$2,840"
2021-04-30,"$2,884"
2021-01-31,"$2,496"
2020-10-31,"$3,783"
2020-07-31,"$1,594"
2020-04-30,"$1,053"
2020-01-31,"$2,221"
2019-10-31,"$2,103"
2019-07-31,"$2,400"
2019-04-30,"$2,336"
2019-01-31,"$1,752"
2018-10-31,"$2,202"
2018-07-31,"$2,347"
2018-04-30,"$2,231"
2018-01-31,"$1,806"
2017-10-31,"$2,100"
2017-07-31,"$2,041"
2017-04-30,"$1,823"
2017-01-31,"$1,842"
2016-10-31,"$1,698"
2016-07-31,"$1,770"
2016-04-30,"$1,498"
2016-01-31,"$1,582"
2015-10-31,"$1,376"
2015-07-31,"$1,820"
2015-04-30,"$1,502"
2015-01-31,"$1,633"
2014-10-31,"$1,510"
2014-07-31,"$1,909"
2014-04-30,"$1,822"
2014-01-31,"$1,816"
2013-10-31,"$1,496"
2013-07-31,"$1,456"
2013-04-30,"$1,647"
2013-01-31,"$1,747"
2012-10-31,"$1,583"
2012-07-31,"$1,717"
2012-04-30,"$1,583"
2012-01-31,"$1,420"
2011-10-31,"$1,536"
2011-07-31,"$1,482"
2011-04-30,"$1,361"
2011-01-31,"$1,581"
2010-10-31,$973
2010-07-31,"$1,121"
2010-04-30,"$1,144"
2010-01-31,"$1,231"
2009-10-31,$965
2009-07-31,$836
2009-04-30,$554
2009-01-31,$579
