HudBay Minerals Inc Quarterly Net Income (Millions of US $),HudBay Minerals Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$-17
2024-03-31,$22
2023-12-31,$31
2023-09-30,$45
2023-06-30,$-15
2023-03-31,$5
2022-12-31,$-17
2022-09-30,$-8
2022-06-30,$32
2022-03-31,$64
2021-12-31,$-10
2021-09-30,$-170
2021-06-30,$-3
2021-03-31,$-60
2020-12-31,$7
2020-09-30,$-24
2020-06-30,$-52
2020-03-31,$-76
2019-12-31,$-1
2019-09-30,$-275
2019-06-30,$-54
2019-03-31,$-13
2018-12-31,$-4
2018-09-30,$23
2018-06-30,$25
2018-03-31,$41
2017-12-31,$94
2017-09-30,$36
2017-06-30,$19
2017-03-31,$-10
2016-12-31,$-47
2016-09-30,$34
2016-06-30,$-6
2016-03-31,$-16
2015-12-31,$-255
2015-09-30,$-12
2015-06-30,$-44
2015-03-31,$-20
2014-12-31,$40
2014-09-30,$44
2014-06-30,$0
2014-03-31,$-25
2013-12-31,$-56
2013-09-30,$3
2013-06-30,$-54
2013-03-31,$2
2012-12-31,$7
2012-09-30,$-6
2012-06-30,$-31
2012-03-31,$9
2011-12-31,$36
2011-09-30,$-39
2011-06-30,$-173
2011-03-31,$17
2010-12-31,$25
2010-09-30,$11
2010-06-30,$13
2010-03-31,$23
2009-12-31,$7
