Pembina Pipeline Quarterly Net Income (Millions of US $),Pembina Pipeline Quarterly Net Income (Millions of US $).1
2024-06-30,$344
2024-03-31,$325
2023-12-31,$443
2023-09-30,$236
2023-06-30,$270
2023-03-31,$273
2022-12-31,$78
2022-09-30,"$1,401"
2022-06-30,$327
2022-03-31,$380
2021-12-31,$-51
2021-09-30,$467
2021-06-30,$207
2021-03-31,$253
2020-12-31,$-982
2020-09-30,$239
2020-06-30,$183
2020-03-31,$205
2019-12-31,$112
2019-09-30,$280
2019-06-30,$496
2019-03-31,$235
2018-12-31,$182
2018-09-30,$256
2018-06-30,$191
2018-03-31,$261
2017-12-31,$281
2017-09-30,$85
2017-06-30,$92
2017-03-31,$162
2016-12-31,$43
2016-09-30,$92
2016-06-30,$88
2016-03-31,$74
2015-12-31,$97
2015-09-30,$86
2015-06-30,$33
2015-03-31,$99
2014-12-31,$67
2014-09-30,$66
2014-06-30,$70
2014-03-31,$135
2013-12-31,$86
2013-09-30,$69
2013-06-30,$91
2013-03-31,$90
2012-12-31,$79
2012-09-30,$31
2012-06-30,$81
2012-03-31,$33
2011-12-31,$45
2011-09-30,$31
2011-06-30,$50
2011-03-31,$43
2010-12-31,$51
