Simpson Manufacturing Quarterly Net Income (Millions of US $),Simpson Manufacturing Quarterly Net Income (Millions of US $).1
2024-06-30,$98
2024-03-31,$75
2023-12-31,$55
2023-09-30,$104
2023-06-30,$107
2023-03-31,$88
2022-12-31,$58
2022-09-30,$88
2022-06-30,$94
2022-03-31,$95
2021-12-31,$70
2021-09-30,$74
2021-06-30,$72
2021-03-31,$50
2020-12-31,$30
2020-09-30,$67
2020-06-30,$53
2020-03-31,$37
2019-12-31,$28
2019-09-30,$44
2019-06-30,$40
2019-03-31,$23
2018-12-31,$13
2018-09-30,$44
2018-06-30,$44
2018-03-31,$25
2017-12-31,$13
2017-09-30,$28
2017-06-30,$28
2017-03-31,$23
2016-12-31,$17
2016-09-30,$30
2016-06-30,$26
2016-03-31,$16
2015-12-31,$15
2015-09-30,$22
2015-06-30,$22
2015-03-31,$10
2014-12-31,$10
2014-09-30,$21
2014-06-30,$20
2014-03-31,$12
2013-12-31,$8
2013-09-30,$20
2013-06-30,$19
2013-03-31,$5
2012-12-31,$6
2012-09-30,$13
2012-06-30,$16
2012-03-31,$7
2011-12-31,$5
2011-09-30,$19
2011-06-30,$19
2011-03-31,$7
2010-12-31,$-4
2010-09-30,$17
2010-06-30,$7
2010-03-31,$9
2009-12-31,$-3
2009-09-30,$13
2009-06-30,$11
2009-03-31,$-8
