Viper Energy Quarterly Net Income (Millions of US $),Viper Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$57
2024-03-31,$43
2023-12-31,$57
2023-09-30,$79
2023-06-30,$31
2023-03-31,$34
2022-12-31,$22
2022-09-30,$79
2022-06-30,$34
2022-03-31,$17
2021-12-31,$39
2021-09-30,$17
2021-06-30,$5
2021-03-31,$-3
2020-12-31,$-28
2020-09-30,$-1
2020-06-30,$-22
2020-03-31,$-142
2019-12-31,$2
2019-09-30,$8
2019-06-30,$2
2019-03-31,$34
2018-12-31,$-1
2018-09-30,$2
2018-06-30,$99
2018-03-31,$43
2017-12-31,$42
2017-09-30,$27
2017-06-30,$22
2017-03-31,$21
2016-12-31,$16
2016-09-30,$10
2016-06-30,$-14
2016-03-31,$-23
2015-12-31,$5
2015-09-30,$6
2015-06-30,$8
2015-03-31,$5
2014-12-31,$11
2014-09-30,$11
2014-06-30,$4
2014-03-31,$4
2013-12-31,
