MicroStrategy Quarterly Net Income (Millions of US $),MicroStrategy Quarterly Net Income (Millions of US $).1
2024-06-30,$-103
2024-03-31,$-53
2023-12-31,$89
2023-09-30,$-143
2023-06-30,$22
2023-03-31,$461
2022-12-31,$-250
2022-09-30,$-27
2022-06-30,"$-1,062"
2022-03-31,$-131
2021-12-31,$-90
2021-09-30,$-36
2021-06-30,$-299
2021-03-31,$-110
2020-12-31,$3
2020-09-30,$-14
2020-06-30,$3
2020-03-31,$1
2019-12-31,$12
2019-09-30,$10
2019-06-30,$20
2019-03-31,$-8
2018-12-31,$3
2018-09-30,$13
2018-06-30,$5
2018-03-31,$2
2017-12-31,$-25
2017-09-30,$18
2017-06-30,$10
2017-03-31,$16
2016-12-31,$32
2016-09-30,$27
2016-06-30,$19
2016-03-31,$14
2015-12-31,$39
2015-09-30,$24
2015-06-30,$22
2015-03-31,$20
2014-12-31,$23
2014-09-30,$-1
2014-06-30,$-10
2014-03-31,$-6
2013-12-31,$16
2013-09-30,$17
2013-06-30,$-2
2013-03-31,$52
2012-12-31,$8
2012-09-30,$5
2012-06-30,$7
2012-03-31,$0
2011-12-31,$9
2011-09-30,$5
2011-06-30,$3
2011-03-31,$1
2010-12-31,$18
2010-09-30,$7
2010-06-30,$12
2010-03-31,$7
2009-12-31,$21
2009-09-30,$21
2009-06-30,$10
2009-03-31,$23
