WEX Quarterly Net Income (Millions of US $),WEX Quarterly Net Income (Millions of US $).1
2024-06-30,$77
2024-03-31,$66
2023-12-31,$85
2023-09-30,$18
2023-06-30,$95
2023-03-31,$68
2022-12-31,$89
2022-09-30,$-44
2022-06-30,$34
2022-03-31,$123
2021-12-31,$-12
2021-09-30,$48
2021-06-30,$-34
2021-03-31,$-3
2020-12-31,$-234
2020-09-30,$-66
2020-06-30,$73
2020-03-31,$-16
2019-12-31,$54
2019-09-30,$15
2019-06-30,$14
2019-03-31,$16
2018-12-31,$21
2018-09-30,$57
2018-06-30,$38
2018-03-31,$52
2017-12-31,$80
2017-09-30,$34
2017-06-30,$17
2017-03-31,$29
2016-12-31,$-32
2016-09-30,$20
2016-06-30,$13
2016-03-31,$23
2015-12-31,$21
2015-09-30,$32
2015-06-30,$26
2015-03-31,$22
2014-12-31,$48
2014-09-30,$74
2014-06-30,$43
2014-03-31,$37
2013-12-31,$34
2013-09-30,$44
2013-06-30,$42
2013-03-31,$29
2012-12-31,$29
2012-09-30,$14
2012-06-30,$30
2012-03-31,$23
2011-12-31,$33
2011-09-30,$48
2011-06-30,$41
2011-03-31,$12
2010-12-31,$19
2010-09-30,$21
2010-06-30,$30
2010-03-31,$19
2009-12-31,$12
2009-09-30,$23
2009-06-30,$93
2009-03-31,$11
