Range Resources Quarterly Net Income (Millions of US $),Range Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$29
2024-03-31,$92
2023-12-31,$308
2023-09-30,$49
2023-06-30,$30
2023-03-31,$470
2022-12-31,$806
2022-09-30,$364
2022-06-30,$441
2022-03-31,$-457
2021-12-31,$881
2021-09-30,$-350
2021-06-30,$-156
2021-03-31,$26
2020-12-31,$41
2020-09-30,$-749
2020-06-30,$-168
2020-03-31,$164
2019-12-31,"$-1,804"
2019-09-30,$-28
2019-06-30,$114
2019-03-31,$1
2018-12-31,"$-1,764"
2018-09-30,$48
2018-06-30,$-80
2018-03-31,$49
2017-12-31,$218
2017-09-30,$-128
2017-06-30,$69
2017-03-31,$170
2016-12-31,$-161
2016-09-30,$-42
2016-06-30,$-225
2016-03-31,$-94
2015-12-31,$-322
2015-09-30,$-301
2015-06-30,$-119
2015-03-31,$28
2014-12-31,$279
2014-09-30,$144
2014-06-30,$169
2014-03-31,$33
2013-12-31,$29
2013-09-30,$19
2013-06-30,$142
2013-03-31,$-76
2012-12-31,$54
2012-09-30,$-54
2012-06-30,$55
2012-03-31,$-42
2011-12-31,$-3
2011-09-30,$34
2011-06-30,$50
2011-03-31,$-25
2010-12-31,$-318
2010-09-30,$-8
2010-06-30,$9
2010-03-31,$78
2009-12-31,$-17
2009-09-30,$-30
2009-06-30,$-40
2009-03-31,$33
