Ormat Technologies Quarterly Net Income (Millions of US $),Ormat Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$39
2023-12-31,$36
2023-09-30,$35
2023-06-30,$24
2023-03-31,$29
2022-12-31,$18
2022-09-30,$18
2022-06-30,$11
2022-03-31,$18
2021-12-31,$19
2021-09-30,$15
2021-06-30,$13
2021-03-31,$15
2020-12-31,$21
2020-09-30,$16
2020-06-30,$23
2020-03-31,$26
2019-12-31,$13
2019-09-30,$16
2019-06-30,$34
2019-03-31,$26
2018-12-31,$18
2018-09-30,$11
2018-06-30,$-0
2018-03-31,$70
2017-12-31,$65
2017-09-30,$24
2017-06-30,$9
2017-03-31,$35
2016-12-31,$24
2016-09-30,$12
2016-06-30,$24
2016-03-31,$29
2015-12-31,$24
2015-09-30,$72
2015-06-30,$14
2015-03-31,$10
2014-12-31,$7
2014-09-30,$17
2014-06-30,$9
2014-03-31,$22
2013-12-31,$8
2013-09-30,$13
2013-06-30,$25
2013-03-31,$-5
2012-12-31,$-229
2012-09-30,$-1
2012-06-30,$9
2012-03-31,$8
2011-12-31,$-43
2011-09-30,$1
2011-06-30,$8
2011-03-31,$-9
2010-12-31,$4
2010-09-30,$32
2010-06-30,$-1
2010-03-31,$2
2009-12-31,$16
2009-09-30,$22
2009-06-30,$16
2009-03-31,$15
