Nelnet Quarterly Net Income (Millions of US $),Nelnet Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$73
2023-12-31,$-8
2023-09-30,$45
2023-06-30,$27
2023-03-31,$26
2022-12-31,$31
2022-09-30,$105
2022-06-30,$85
2022-03-31,$187
2021-12-31,$133
2021-09-30,$53
2021-06-30,$84
2021-03-31,$124
2020-12-31,$235
2020-09-30,$72
2020-06-30,$86
2020-03-31,$-41
2019-12-31,$42
2019-09-30,$33
2019-06-30,$25
2019-03-31,$42
2018-12-31,$22
2018-09-30,$43
2018-06-30,$49
2018-03-31,$114
2017-12-31,$48
2017-09-30,$46
2017-06-30,$29
2017-03-31,$50
2016-12-31,$98
2016-09-30,$84
2016-06-30,$26
2016-03-31,$48
2015-12-31,$83
2015-09-30,$49
2015-06-30,$71
2015-03-31,$65
2014-12-31,$74
2014-09-30,$85
2014-06-30,$75
2014-03-31,$74
2013-12-31,$71
2013-09-30,$63
2013-06-30,$101
2013-03-31,$68
2012-12-31,$57
2012-09-30,$37
2012-06-30,$41
2012-03-31,$43
2011-12-31,$66
2011-09-30,$47
2011-06-30,$37
2011-03-31,$55
2010-12-31,$85
2010-09-30,$-0
2010-06-30,$50
2010-03-31,$54
2009-12-31,$59
2009-09-30,$46
2009-06-30,$8
2009-03-31,$25
