CAE Inc Quarterly Net Income (Millions of US $),CAE Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$-359
2023-12-31,$41
2023-09-30,$44
2023-06-30,$49
2023-03-31,$75
2022-12-31,$58
2022-09-30,$34
2022-06-30,$1
2022-03-31,$43
2021-12-31,$21
2021-09-30,$11
2021-06-30,$38
2021-03-31,$10
2020-12-31,$37
2020-09-30,$-4
2020-06-30,$-80
2020-03-31,$58
2019-12-31,$74
2019-09-30,$56
2019-06-30,$46
2019-03-31,$93
2018-12-31,$59
2018-09-30,$46
2018-06-30,$54
2018-03-31,$78
2017-12-31,$93
2017-09-30,$52
2017-06-30,$47
2017-03-31,$50
2016-12-31,$51
2016-09-30,$37
2016-06-30,$53
2016-03-31,$43
2015-12-31,$43
2015-09-30,$53
2015-06-30,$36
2015-03-31,$52
2014-12-31,$42
2014-09-30,$38
2014-06-30,$38
2014-03-31,$55
2013-12-31,$42
2013-09-30,$37
2013-06-30,$44
2013-03-31,$43
2012-12-31,$38
2012-09-30,$37
2012-06-30,$21
2012-03-31,$52
2011-12-31,$46
2011-09-30,$38
2011-06-30,$44
2011-03-31,$51
2010-12-31,$41
2010-09-30,$40
2010-06-30,$38
2010-03-31,$40
2009-12-31,$35
2009-09-30,$37
2009-06-30,$25
2009-03-31,$44
