TFS Financial Quarterly Net Income (Millions of US $),TFS Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$20
2023-12-31,$21
2023-09-30,$19
2023-06-30,$17
2023-03-31,$16
2022-12-31,$22
2022-09-30,$25
2022-06-30,$17
2022-03-31,$15
2021-12-31,$16
2021-09-30,$17
2021-06-30,$16
2021-03-31,$23
2020-12-31,$25
2020-09-30,$13
2020-06-30,$27
2020-03-31,$17
2019-12-31,$25
2019-09-30,$21
2019-06-30,$18
2019-03-31,$20
2018-12-31,$20
2018-09-30,$21
2018-06-30,$21
2018-03-31,$23
2017-12-31,$19
2017-09-30,$23
2017-06-30,$23
2017-03-31,$23
2016-12-31,$19
2016-09-30,$22
2016-06-30,$20
2016-03-31,$19
2015-12-31,$18
2015-09-30,$23
2015-06-30,$17
2015-03-31,$16
2014-12-31,$16
2014-09-30,$16
2014-06-30,$18
2014-03-31,$16
2013-12-31,$16
2013-09-30,$16
2013-06-30,$16
2013-03-31,$13
2012-12-31,$11
2012-09-30,$1
2012-06-30,$1
2012-03-31,$1
2011-12-31,$8
2011-09-30,$8
2011-06-30,$6
2011-03-31,$2
2010-12-31,$-7
2010-09-30,$-11
2010-06-30,$10
2010-03-31,$3
2009-12-31,$9
2009-09-30,$-13
2009-06-30,$10
2009-03-31,$6
