BOK Financial Quarterly Net Income (Millions of US $),BOK Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$164
2024-03-31,$84
2023-12-31,$84
2023-09-30,$133
2023-06-30,$151
2023-03-31,$162
2022-12-31,$171
2022-09-30,$155
2022-06-30,$132
2022-03-31,$62
2021-12-31,$121
2021-09-30,$187
2021-06-30,$165
2021-03-31,$145
2020-12-31,$153
2020-09-30,$153
2020-06-30,$65
2020-03-31,$62
2019-12-31,$109
2019-09-30,$141
2019-06-30,$138
2019-03-31,$110
2018-12-31,$106
2018-09-30,$116
2018-06-30,$114
2018-03-31,$106
2017-12-31,$72
2017-09-30,$86
2017-06-30,$88
2017-03-31,$88
2016-12-31,$51
2016-09-30,$74
2016-06-30,$65
2016-03-31,$42
2015-12-31,$59
2015-09-30,$74
2015-06-30,$78
2015-03-31,$74
2014-12-31,$63
2014-09-30,$75
2014-06-30,$75
2014-03-31,$77
2013-12-31,$76
2013-09-30,$75
2013-06-30,$79
2013-03-31,$87
2012-12-31,$85
2012-09-30,$87
2012-06-30,$97
2012-03-31,$83
2011-12-31,$68
2011-09-30,$84
2011-06-30,$68
2011-03-31,$65
2010-12-31,$59
2010-09-30,$64
2010-06-30,$64
2010-03-31,$60
2009-12-31,$42
2009-09-30,$51
2009-06-30,$52
2009-03-31,$55
