KT Quarterly Net Income (Millions of US $),KT Quarterly Net Income (Millions of US $).1
2024-06-30,$275
2024-03-31,$300
2023-12-31,$30
2023-09-30,$211
2023-06-30,$316
2023-03-31,$237
2022-12-31,$96
2022-09-30,$208
2022-06-30,$250
2022-03-31,$328
2021-12-31,$364
2021-09-30,$280
2021-06-30,$305
2021-03-31,$272
2020-09-30,$163
2020-06-30,$141
2019-09-30,$152
2019-06-30,$157
2018-09-30,$216
2018-06-30,$226
2017-09-30,$162
2017-06-30,$200
2016-12-31,$93
2016-09-30,$188
2016-06-30,$207
2016-03-31,$149
2015-12-31,
2015-06-30,$142
2015-03-31,$253
2014-12-31,$-217
2014-09-30,$74
2014-06-30,$-757
2014-03-31,$-37
2013-12-31,$-521
2013-09-30,$122
2013-06-30,$120
2013-03-31,$198
2012-12-31,$-39
2012-09-30,$331
2012-06-30,$207
2012-03-31,$340
2011-12-31,$202
2011-09-30,$238
2011-06-30,$387
2011-03-31,$494
2010-12-31,
2010-06-30,$289
2009-12-31,$-375
2009-09-30,$297
2009-06-30,$370
2009-03-31,$103
