Warner Music Group Quarterly Net Income (Millions of US $),Warner Music Group Quarterly Net Income (Millions of US $).1
2024-06-30,$139
2024-03-31,$96
2023-12-31,$159
2023-09-30,$152
2023-06-30,$122
2023-03-31,$34
2022-12-31,$122
2022-09-30,$148
2022-06-30,$124
2022-03-31,$92
2021-12-31,$187
2021-09-30,$28
2021-06-30,$61
2021-03-31,$117
2020-12-31,$98
2020-09-30,$-1
2020-06-30,$-520
2020-03-31,$-74
2019-12-31,$120
2019-09-30,$90
2019-06-30,$13
2019-03-31,$67
2018-12-31,$86
2018-09-30,$-14
2018-06-30,$320
2018-03-31,$-3
2017-12-31,$4
2017-09-30,$-39
2017-06-30,$141
2017-03-31,$19
2016-12-31,$22
2016-09-30,$-4
2016-06-30,$-9
2016-03-31,$11
2015-12-31,$27
2015-09-30,$-23
2015-06-30,$-44
2015-03-31,$18
2014-12-31,$-42
2014-09-30,$-26
2014-06-30,$-185
2014-03-31,$-60
2013-12-31,$-37
2013-09-30,$-57
2013-06-30,$-63
2013-03-31,$2
2012-12-31,$-80
2012-09-30,$-18
2012-06-30,$-32
2012-03-31,$-36
2011-12-31,$-26
2011-09-30,$-103
2011-06-30,$-46
2011-03-31,$-38
2010-12-31,$-18
2010-09-30,$-46
2010-06-30,$-55
2010-03-31,$-25
2009-12-31,$-17
2009-09-30,$-18
2009-06-30,$-37
2009-03-31,$-68
