Bright Horizons Family Solutions Quarterly Net Income (Millions of US $),Bright Horizons Family Solutions Quarterly Net Income (Millions of US $).1
2024-06-30,$39
2024-03-31,$17
2023-12-31,$6
2023-09-30,$40
2023-06-30,$21
2023-03-31,$8
2022-12-31,$18
2022-09-30,$18
2022-06-30,$25
2022-03-31,$19
2021-12-31,$18
2021-09-30,$27
2021-06-30,$19
2021-03-31,$7
2020-12-31,$2
2020-09-30,$-7
2020-06-30,$0
2020-03-31,$31
2019-12-31,$48
2019-09-30,$41
2019-06-30,$49
2019-03-31,$42
2018-12-31,$46
2018-09-30,$34
2018-06-30,$40
2018-03-31,$37
2017-12-31,$51
2017-09-30,$31
2017-06-30,$33
2017-03-31,$41
2016-12-31,$17
2016-09-30,$22
2016-06-30,$30
2016-03-31,$25
2015-12-31,$23
2015-09-30,$21
2015-06-30,$27
2015-03-31,$23
2014-12-31,$19
2014-09-30,$15
2014-06-30,$22
2014-03-31,$16
2013-12-31,$24
2013-09-30,$15
2013-06-30,$25
2013-03-31,$-51
2012-12-31,$4
2012-09-30,$-19
2012-06-30,$-25
2012-03-31,$-15
2011-12-31,
2010-12-31,
