ACI Worldwide Quarterly Net Income (Millions of US $),ACI Worldwide Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$-8
2023-12-31,$123
2023-09-30,$38
2023-06-30,$-7
2023-03-31,$-32
2022-12-31,$90
2022-09-30,$23
2022-06-30,$13
2022-03-31,$15
2021-12-31,$109
2021-09-30,$14
2021-06-30,$7
2021-03-31,$-2
2020-12-31,$67
2020-09-30,$16
2020-06-30,$14
2020-03-31,$-24
2019-12-31,$55
2019-09-30,$32
2019-06-30,$6
2019-03-31,$-26
2018-12-31,$88
2018-09-30,$15
2018-06-30,$-15
2018-03-31,$-19
2017-12-31,$33
2017-09-30,$3
2017-06-30,$-30
2017-03-31,$-2
2016-12-31,$67
2016-09-30,$-10
2016-06-30,$-16
2016-03-31,$89
2015-12-31,$44
2015-09-30,$15
2015-06-30,$27
2015-03-31,$-0
2014-12-31,$46
2014-09-30,$16
2014-06-30,$11
2014-03-31,$-6
2013-12-31,$50
2013-09-30,$14
2013-06-30,$2
2013-03-31,$-2
2012-12-31,$50
2012-09-30,$6
2012-06-30,$-5
2012-03-31,$-2
2011-12-31,$24
2011-09-30,$11
2011-06-30,$10
2011-03-31,$2
2010-12-31,$27
2010-09-30,$2
2010-06-30,$-0
2010-03-31,$-2
2009-12-31,$20
2009-09-30,$8
2009-06-30,$-4
2009-03-31,$-4
